name,business_type,black_owned,ratings,chill_score,activity_type,weekend_only,business_url,social_media.instagram,social_media.twitter,social_media.facebook,social_media.other,location.location,location.address,location.metro,location.state,location.longitude,location.latitude
by way of dallas ,shopping,True,,,,False,,https://www.instagram.com/bywayofdallas/,,,https://www.instagram.com/bywayofdallas/,Online,,DFW,Texas,,
good cycle ,shopping,True,,,,False,,https://www.instagram.com/goodcycledallas/,,,https://www.instagram.com/goodcycledallas/,Bishop Arts,,DFW,Texas,,
indigo 1745 ,shopping,True,,,,False,,https://www.instagram.com/indigo1745/,,,https://www.instagram.com/indigo1745/,Bishop Arts,,DFW,Texas,,
olphactory candles ,shopping,True,,,,False,,https://www.instagram.com/olphactorycandles/,,,https://www.instagram.com/olphactorycandles/,Online,,DFW,Texas,,
Remedy E-Design & Decor ,shopping,True,,,,False,,,,,https://www.remedyhomedecor.com/#/,Online,,DFW,Texas,,
taylor + tess ,shopping,True,,,,False,,https://www.instagram.com/taylorandtess/,,,https://www.instagram.com/taylorandtess/,Deep Ellum,,DFW,Texas,,
the artistry of essential oils ,shopping,True,,,,False,,https://www.instagram.com/theartistryofessentialoils/,,,https://www.instagram.com/theartistryofessentialoils/,Frisco,,DFW,Texas,,
The plant project ,shopping,True,,,,False,,https://www.instagram.com/theplantproject__/,,,https://www.instagram.com/theplantproject__/,State Thomas,,DFW,Texas,,
winding wick candles ,shopping,True,,,,False,,https://www.instagram.com/windingwickcandles/,,,https://www.instagram.com/windingwickcandles/,Ferris,,DFW,Texas,,
