name,business_type,black_owned,ratings,chill_score,activity_type,weekend_only,business_url,social_media.instagram,social_media.twitter,social_media.facebook,social_media.other,location.location,location.address,location.metro,location.state,location.longitude,location.latitude
BPOLISHED BEAUTY SUPPLY ,beauty / wellness,True,,,,False,,https://www.instagram.com/bpolishedbeautysupply/,,,https://www.instagram.com/bpolishedbeautysupply/,"Addison, Arlington, Mesquite",,DFW,Texas,,
koffee day spa ,beauty / wellness,True,,,,False,,https://www.instagram.com/koffeedayspa/?hl=en,,,https://www.instagram.com/koffeedayspa/?hl=en,Downtown Dallas,,DFW,Texas,,
konjo beauty ,beauty / wellness,True,,,,False,,https://www.instagram.com/konjobeauty/?hl=en,,,https://www.instagram.com/konjobeauty/?hl=en,Online,,DFW,Texas,,
luxxy brow and skin studio ,beauty / wellness,True,,,,False,,https://www.instagram.com/luxxybrowandskin/?hl=en,,,https://www.instagram.com/luxxybrowandskin/?hl=en,Uptown,,DFW,Texas,,
POSITIVE TOUCH THERAPY LLC  ,beauty / wellness,True,,,,False,,,,,http://www.massagebook.com/biz/positivetouch,Duncanville,,DFW,Texas,,
pressed roots ,beauty / wellness,True,,,,False,,https://www.instagram.com/_pressedroots/?hl=en,,,https://www.instagram.com/_pressedroots/?hl=en,Trinity Groves,,DFW,Texas,,
royal queen beauty ,beauty / wellness,True,,,,False,,https://www.instagram.com/royalqueenbeauty_/,,,https://www.instagram.com/royalqueenbeauty_/,Fort Worth,,DFW,Texas,,
