name,business_type,black_owned,ratings,chill_score,activity_type,weekend_only,business_url,social_media.instagram,social_media.twitter,social_media.facebook,social_media.other,location.location,location.address,location.metro,location.state,location.longitude,location.latitude
absolutely edible cakes ,desserts + snacks,True,,,,False,,https://www.instagram.com/absolutelyediblecakes/?hl=en,,,https://www.instagram.com/absolutelyediblecakes/?hl=en,Rowlett,,DFW,Texas,,
avery's savory popcorn ,desserts + snacks,True,,,,False,,https://www.instagram.com/averysavorypopcorn/?hl=en,,,https://www.instagram.com/averysavorypopcorn/?hl=en,Downtown Dallas,,DFW,Texas,,
cake bar ,desserts + snacks,True,,,,False,,https://www.instagram.com/cakebartrinitygroves/?hl=en,,,https://www.instagram.com/cakebartrinitygroves/?hl=en,Trinity Groves,,DFW,Texas,,
chocolate secrets ,desserts + snacks,True,,,,False,,https://www.instagram.com/chocolatesecrets/?hl=en,,,https://www.instagram.com/chocolatesecrets/?hl=en,Oak Lawn,,DFW,Texas,,
city cafe and bakery ,desserts + snacks,True,,,,False,,https://www.instagram.com/citycafetogo/?hl=en,,,https://www.instagram.com/citycafetogo/?hl=en,Northeast Dallas,,DFW,Texas,,
cookie society ,desserts + snacks,True,,,,False,,https://www.instagram.com/cookiesociety/?hl=en,,,https://www.instagram.com/cookiesociety/?hl=en,Frisco,,DFW,Texas,,
delightful sweets by mary ,desserts + snacks,True,,,,False,,https://www.instagram.com/delightfulsweetsbymary/?hl=en,,,https://www.instagram.com/delightfulsweetsbymary/?hl=en,DeSoto,,DFW,Texas,,
fluellen cupcakes ,desserts + snacks,True,,,,False,,https://www.instagram.com/fluellencupcakes/?hl=en,,,https://www.instagram.com/fluellencupcakes/?hl=en,Downtown Dallas,,DFW,Texas,,
funnel cake paradise ,desserts + snacks,True,,,,False,,https://www.instagram.com/funnelcakeparadise4353/?hl=en,,,https://www.instagram.com/funnelcakeparadise4353/?hl=en,Duncanville,,DFW,Texas,,
hannah's gluten-free bakery ,desserts + snacks,True,,,,False,,https://www.instagram.com/hannahsglutenfree/?hl=en,,,https://www.instagram.com/hannahsglutenfree/?hl=en,Mesquite,,DFW,Texas,,
kessler baking studio ,desserts + snacks,True,,,,False,,https://www.instagram.com/kesslerbakingstudio/?hl=en,,,https://www.instagram.com/kesslerbakingstudio/?hl=en,Bishop Arts,,DFW,Texas,,
kookie haven ,desserts + snacks,True,,,,False,,https://www.instagram.com/kookiehaven/?hl=en,,,https://www.instagram.com/kookiehaven/?hl=en,Bishop Arts,,DFW,Texas,,
mama moore's gourmet popcorn ,desserts + snacks,True,,,,False,,https://www.instagram.com/moore_popcorn/?hl=en,,,https://www.instagram.com/moore_popcorn/?hl=en,Grand Prairie,,DFW,Texas,,
sinsational cakes ,desserts + snacks,True,,,,False,,https://www.instagram.com/sinsationalcakes/?hl=en,,,https://www.instagram.com/sinsationalcakes/?hl=en,📍Richland Hills,,DFW,Texas,,
sweetsie's bakery & cafe ,desserts + snacks,True,,,,False,,https://www.instagram.com/sweetsiebakery/?hl=en,,,https://www.instagram.com/sweetsiebakery/?hl=en,DeSoto,,DFW,Texas,,
the cookie crave,desserts + snacks,True,,,,False,,https://www.instagram.com/the_cookie__crave/?hl=en,,,https://www.instagram.com/the_cookie__crave/?hl=en,Denton,,DFW,Texas,,
val's cheesecakes ,desserts + snacks,True,,,,False,,https://www.instagram.com/valscheesecakes/?hl=en,,,https://www.instagram.com/valscheesecakes/?hl=en,Lower Greenville,,DFW,Texas,,
