name,business_type,black_owned,ratings,chill_score,activity_type,weekend_only,business_url,social_media.instagram,social_media.twitter,social_media.facebook,social_media.other,location.location,location.address,location.metro,location.state,location.longitude,location.latitude
bam's vegan smoothies & wraps ,juice bars,True,,,,False,,https://www.instagram.com/bamsvegansw/?hl=en,,,https://www.instagram.com/bamsvegansw/?hl=en,Hillcrest Oaks,,DFW,Texas,,
duncanville nutrition lounge ,juice bars,True,,,,False,,https://www.instagram.com/duncanvillenutrition/?hl=en,,,https://www.instagram.com/duncanvillenutrition/?hl=en,Duncanville,,DFW,Texas,,
fortitude wellness center ,juice bars,True,,,,False,,https://www.instagram.com/fortitudecedarhill/?hl=en,,,https://www.instagram.com/fortitudecedarhill/?hl=en,Cedar Hill,,DFW,Texas,,
manna juice bar ,juice bars,True,,,,False,,https://www.instagram.com/mannajuicebar/?hl=en,,,https://www.instagram.com/mannajuicebar/?hl=en,Mansfield,,DFW,Texas,,
"peace, love, and eatz smoothie bar ",juice bars,True,,,,False,,,,https://www.facebook.com/PeaceLoveEatz/,https://www.facebook.com/PeaceLoveEatz/,DeSoto,,DFW,Texas,,
three cold pressed juices ,juice bars,True,,,,False,,https://www.instagram.com/threecoldpressed/?hl=en,,,https://www.instagram.com/threecoldpressed/?hl=en,Mansfield,,DFW,Texas,,
