name,business_type,black_owned,ratings,chill_score,activity_type,weekend_only,business_url,social_media.instagram,social_media.twitter,social_media.facebook,social_media.other,location.location,location.address,location.metro,location.state,location.longitude,location.latitude
berkshire farms winery ,bars / wineries,True,,,,False,,https://www.instagram.com/berkshire_farms_winery/?hl=en,,,https://www.instagram.com/berkshire_farms_winery/?hl=en,Dallas Farmers Market,,DFW,Texas,,
daq's luxury daiquiri lounge ,bars / wineries,True,,,,False,,https://www.instagram.com/daqsallfolks/?hl=en,,,https://www.instagram.com/daqsallfolks/?hl=en,Plano,,DFW,Texas,,
emerald city bar and grill ,bars / wineries,True,,,,False,,https://www.instagram.com/emeraldcitybargrill/?hl=en,,,https://www.instagram.com/emeraldcitybargrill/?hl=en,Fair Park,,DFW,Texas,,
